Date,Event Name,Location,Type,Recorded Hours,
2015-07,Willie Clancy Summer School,"Miltown Malbay, Clare","Lectures, Recitals, Concerts",40,
2015-08,Donegal Fiddle Summer School,"Glencolmcille, Donegal",Concert,3,
2015-08,All Ireland Fleadh,Sligo,Lectures,6,
2015-08,Scoil Clairseach,Kilkenny,"Recitals, Concerts",12,
2015-08,Donegal Fiddle School,"Glenties, Donegal","Lectures, Recitals",6,
2015-08,Historical Harp Society,"St. Michan's Church, Dublin","Recitals, Concerts",2,
2015-09,Frank Harte Festival,"Teachers Club, Dublin","Lectures, Recitals, Concerts",6,
2015-09,Tradition Now,Dublin,Concerts,3,
2015-10,Companach,"Belfast, Down",Stage Show,3,
2015-10,Fiddle Weekend,"Glenties, Donegal",Concert,3,
2015-10,Skippers Alley gig,Dublin,Concert,3,
2015-10,Slow Moving Clouds gig,Dublin,Concert,3,
2015-11,Danny Diamond & David Munnelly gig,Dublin,Concert,3,
2015-11,The Voice Squad,"ITMA, Dublin",Recital,2,
2015-11,William Kennedy Piping Festival,Armagh,"Lectures, Recitals, Concerts",12,
2015-11,TP Mulligan Tribute,"Drumkeeran, Leitrim",Concert,3,
2015-11,Ronan Galvin presentation,Dublin,Lecture,2,
2015-12,Scoil Geimhridh Gaoth Dobhair,"Gaoth Dobhair, Donegal","Lectures, Recitals, Concerts",15,
2016-01,"Donal McCague, Sean McElwain & Grace Toland",Dublin,Recital,2,
2016-02,The Bonny Men gig,"Dun Laoghaire, Dublin",Concert,3,
2016-02,Long Road to Glenties,"ITMA, Dublin","Lecture, Recital, Film",2,
2016-03,Verena Commins,Galway,Lecture,2,
2016-03,Inishowen Int. Folk Song and Ballad Seminar,"Inishowen, Donegal","Lectures,  Concerts, pop-up studio",20,
2016-03,Michigan Festival Battle of the Bands,Limerick,Concert,3,
2016-04,Cruinniu na bhFluit,"Baile Bhuirne, Cork","Lectures, Recitals, Concerts",10,
2016-04,Freedom's Hill,"Carndonagh, Donegal",Stage Show,2,
2016-04,Joe Dunne,"Dundalk, Louth",Interview,2,
2016-04,Lough Allen Dance ,"Drumshanbo, Leitrim",Dance,12,
2016-04,Music Town gig,Dublin,Concert,3,
2016-04,Sean Nos Cois Life,Dublin,Pub session,2,
2016-05,Anne Gannon,"Ardagh, Longford",Interview,2,
2016-05,Caithreim CD launch,Dublin,Recital,2,
2016-05,Children of Lir,"Tullamore, Offaly",Choral Concert,3,
2016-05,David Lennon lecture,"Ballinrobe, Mayo",Lecture,1,
2016-05,Paddy Joe Tighe,"Ballyhaunis, Mayo",Interview,2,
2016-05,Robin Morton,"Temple, Scotland",Interview,3,
2016-05,Reg Hall,"ITMA & Cobblestone, Dublin","Lecture, Concert",4,
,,,,,